modelo,combustivel,cor,ano,km,valor
TOYOTA HILUX CD SRX A 4FD 2022,DIESEL,VERMELHO,2022,0,"R$349.990,00"
JEEP COMMANDER LIMITED TD380 4X4 TURBO DIESEL 2022,DIESEL,PRATA,2022,8.000,"R$279.990,00"
TOYOTA COROLLA ALTIS PREMIUM HYBRID 1.8 FLEX AUT. 2022,FLEX,BRANCO,2022,23.000,"R$175.990,00"
TOYOTA COROLLA CROSS XRE 2.0 2022,FLEX,PRATA,2022,25.000,"R$169.990,00"
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES AUT 2022,DIESEL,PRATA,2022,11.000,"R$379.990,00"
TOYOTA COROLLA CROSS XRX 1.8 16V AUT.(HÍBRIDO) 2022,HÍBRIDO,CINZA,2022,37.000,"R$189.990,00"
MITSUBISHI L200 TRITON SPORT GL 2.4 2022,DIESEL,BRANCO,2022,56.000,"R$199.990,00"
CHEVROLET ONIX 1.0 PREMIER AT TURBO 2022,FLEX,CINZA,2022,17.000,"R$99.990,00"
CHEVROLET TRAILBLAZER PREMIER D4A 2022,DIESEL,PRETO,2022,44.000,"R$329.990,00"
TOYOTA COROLLA XEI 2022,FLEX,VERMELHO,2022,11.000,"R$142.990,00"
TOYOTA COROLLA A PREMIUM H 2022,FLEX,BRANCO,2022,47.050,"R$166.800,00"
RAM CLASSIC LARAMIE 2022,GASOLINA,BRANCO,2022,2.450,"R$378.900,00"
VOLKSWAGEN GOL TL MCV 82CV 5P 2022,FLEX,BRANCO,2022,0,"R$63.900,00"
RENAULT KWID ZEN 10MT 2022,FLEX,PRETO,2022,16.630,"R$57.900,00"
RENAULT CAPTUR ICO 13T CVT 2022,FLEX,PRATA,2022,23.977,"R$137.900,00"
NISSAN FRONTIER ATK X4 2022,DIESEL,BRANCO,2022,21.520,"R$220.900,00"
FIAT MOBI LIKE 2022,FLEX,BRANCO,2022,25.843,"R$58.990,00"
VOLKSWAGEN GOL 1.6L MB5 2022,FLEX,BRANCO,2022,28.319,"R$68.990,00"
VOLKSWAGEN GOL MC4 _4P_ 2022,FLEX,VERMELHO,2022,0,"R$65.990,00"
CITROEN C4 CACTUS FEEL A 2022,FLEX,PRATA,2022,36.849,"R$88.990,00"
JEEP COMPASS SPORT TF 2022,FLEX,PRATA,2022,8.687,"R$155.990,00"
PEUGEOT 2008 ALLURE PACK 2022,FLEX,PRATA,2022,22.465,"R$76.990,00"
RENAULT LOGAN ZEN 2022,FLEX,PRATA,2022,7.000,"R$71.990,00"
JEEP COMPASS LIMITED TF 2022,FLEX,PRATA,2022,51.000,"R$184.990,00"
PEUGEOT 208 LIKE PK MT 2022,FLEX,BRANCO,2022,2.100,"R$73.990,00"
HYUNDAI HB20 1.0 SENSE 2022,FLEX,PRETO,2022,0,"R$72.000,00"
RENAULT DUSTER ICO16 CVT 2022,FLEX,BRANCO,2022,56.081,"R$93.900,00"
FIAT CRONOS DRIVE 1.3 2022,FLEX,VERMELHO,2022,11.455,"R$76.900,00"
FIAT ARGO DRIVE 1.3 2022,FLEX,PRETO,2022,2.293,"R$73.900,00"
BMW Z4 SDRIVE 30I 2022,GASOLINA,AZUL,2022,26.826,"R$499.990,00"
BYD TAN AWD GS 680EV 2022,ELéTRICO,CINZA,2022,0,"R$519.990,00"
CHEVROLET CRUZE LTZ NB AT 2022,FLEX,BRANCO,2022,4.875,"R$145.990,00"
FORD RANGER BLACK 2.2 4X2 CD DIESEL AUT. 2022,DIESEL,PRETO,2022,22.855,"R$199.990,00"
TOYOTA COROLLA CROSS XRX 1.8 16V AUT.(HÍBRIDO) 2022,HÍBRIDO,PRETO,2022,32.153,"R$188.990,00"
