modelo,combustivel,cor,ano,km,valor
FIAT TORO FREEDOM 2.0 16V 4X4 2017,DIESEL,BRANCO,2017,193.000,"R$109.990,00"
BMW M2 COUPE 3.0 BI-TURBO 24V 370CV 2017,GASOLINA,CINZA,2017,47.000,"R$379.990,00"
JEEP COMPASS TRAILHAWK 2.0 16V 4X4 AUT DIESEL 2017,DIESEL,PRETO,2017,174.000,"R$139.990,00"
FIAT PALIO WEEKEND(N.VERSAO) ADVENTURE 1.8 8V (FLEX) 4P COM 2017,FLEX,BRANCO,2017,90.000,"R$59.990,00"
BMW 430I GRAN COUPE 2017,GASOLINA,BRANCO,2017,53.000,"R$199.990,00"
JAGUAR JAG FPACE 340CV RSPORT 2017,GASOLINA,CINZA,2017,110.000,"R$279.990,00"
FORD RANGER 3.2 LIMITED 4X4 CD 20V DIESEL 4P AUT 2017,DIESEL,BRANCO,2017,203.000,"R$179.990,00"
FORD RANGER XLT 3.2 20V 4X4 CD DIESEL AUT. 2017,DIESEL,BRANCO,2017,199.000,"R$165.990,00"
KIA PICANTO EX41.0ATFF 2017,FLEX,BRANCO,2017,91.000,"R$59.990,00"
CHEVROLET TRAILBLAZER LTZ D4A 2017,DIESEL,CINZA,2017,92.000,"R$199.990,00"
FORD RANGER XLSCD4A22C 2017,DIESEL,BRANCO,2017,231.000,"R$148.990,00"
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES AUT 2017,DIESEL,BRANCO,2017,151.000,"R$249.990,00"
LAND ROVER DISCOVERY 4 HSE LUXURY 3.0 AUT DIESEL 2017,DIESEL,BRANCO,2017,68.000,"R$359.990,00"
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT 2017,FLEX,BRANCO,2017,102.000,"R$74.990,00"
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES AUT 2017,DIESEL,PRATA,2017,154.000,"R$259.990,00"
VOLKSWAGEN AMAROK HIGHLINE CD 4X4 2.0 16V TDI BITURBO AUT. 2017,DIESEL,CINZA,2017,0,"R$169.990,00"
FIAT TORO VOLCANO 4X4 AUTOMÁTICO 2017,DIESEL,MARROM,2017,117.000,"R$129.990,00"
VOLKSWAGEN GOL TRENDLINE 1.0 TOTAL FLEX 4P 2017,FLEX,BRANCO,2017,105.000,"R$49.990,00"
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES AUT 2017,DIESEL,BRANCO,2017,154.000,"R$269.990,00"
FORD RANGER XLS 2.2 4X4 CD DIESEL MEC 2017,DIESEL,PRATA,2017,133.000,"R$149.990,00"
FIAT TORO FREEDOM 2.0 16V 4X4 2017,DIESEL,PRATA,2017,129.000,"R$109.990,00"
JEEP RENEGADE LONGITUDE 1.8 FLEX AUTOMATICO 2017,FLEX,PRETO,2017,86.000,"R$89.990,00"
HYUNDAI IX35 B 2017,FLEX,PRATA,2017,90.000,"R$94.990,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2017,DIESEL,PRATA,2017,98.000,"R$189.990,00"
CHEVROLET CRUZE LTZ 1.4 16V TURBO FLEX 4P AUT 2017,FLEX,BRANCO,2017,152.000,"R$89.990,00"
FIAT TORO VOLCANO AT D4 2017,DIESEL,BRANCO,2017,206.509,"R$119.900,00"
CHEVROLET S10 2.8 HIGH COUNTRY 4X4 CD 16V TURBO DIESEL 4P AUT 2017,DIESEL,BRANCO,2017,115.907,"R$177.900,00"
HYUNDAI HB20S 1.6A PREM 2017,FLEX,BRANCO,2017,129.008,"R$68.900,00"
NISSAN MARCH S 1.0 2017,FLEX,BRANCO,2017,64.933,"R$45.900,00"
NISSAN VERSA 16SV CVT 2017,FLEX,BRANCO,2017,165.433,"R$55.900,00"
FORD KA SE 1.0 SD B 2017,FLEX,PRATA,2017,149.970,"R$47.900,00"
VOLKSWAGEN UP TAKE MCV 2017,FLEX,BRANCO,2017,152.125,"R$47.990,00"
VOLKSWAGEN UP 1.0 MPI MOVE IMOTION FLEX 12V 5P 2017,FLEX,BRANCO,2017,135.313,"R$54.990,00"
NISSAN VERSA 1.6 SV FLEX MEC 2017,FLEX,PRETO,2017,90.300,"R$55.900,00"
RENAULT DUSTER 20 D 4X4 2017,FLEX,BRANCO,2017,79.000,"R$70.900,00"
FIAT FIAT UNO WAY 1.0 2017,FLEX,BRANCO,2017,199.607,"R$42.990,00"
JEEP COMPASS LONGITUDE 2.0 FLEX 16V AUT 2017,FLEX,CINZA,2017,100.700,"R$109.990,00"
VOLKSWAGEN NOVO GOL TL MCV 2017,FLEX,BRANCO,2017,77.279,"R$47.990,00"
VOLKSWAGEN NOVO GOL TL MCV 2017,FLEX,BRANCO,2017,90.481,"R$47.990,00"
VOLKSWAGEN NOVO VOYAGE CL MBV 2017,FLEX,BRANCO,2017,125.774,"R$54.990,00"
HYUNDAI HB20 1.0M COMFOR 2017,FLEX,PRATA,2017,71.800,"R$53.990,00"
HONDA FIT LX CVT 2017,FLEX,PRETO,2017,94.363,"R$73.990,00"
HYUNDAI HB20 1.6M COMF 2017,FLEX,PRATA,2017,59.331,"R$55.990,00"
VOLKSWAGEN NOVO VOYAGE TL MBV 2017,FLEX,BRANCO,2017,0,"R$55.000,00"
TOYOTA HILUX CDSRVA4FD 2017,DIESEL,BRANCO,2017,0,"R$205.000,00"
VOLKSWAGEN UP MOVE 1.0 TSI TOTAL FLEX 12V 5P 2017,FLEX,BRANCO,2017,0,"R$57.000,00"
VOLKSWAGEN UP CROSS MC 2017,FLEX,BRANCO,2017,124.000,"R$59.900,00"
FIAT TORO FREEDOM 1.8 16V FLEX AUT 2017,FLEX,PRETO,2017,52.597,"R$88.900,00"
NISSAN MARCH 10S 2017,FLEX,PRATA,2017,99.134,"R$40.900,00"
MERCEDES-BENZ GLE-400 COUPE 3.0 V6 333CV AUT. 2017,GASOLINA,BRANCO,2017,64.000,"R$329.990,00"
LAND ROVER DISCOVERY SPORT TD4 HSE 2017,DIESEL,BRANCO,2017,125.375,"R$199.990,00"
FORD FUSION SEL 2.0 ECOBO. 16V 248CV AUT. 2017,GASOLINA,BRANCO,2017,49.840,"R$97.990,00"
MERCEDES-BENZ B200 1.6 SPORT TURBO FLEX 4P AUT 2017,FLEX,PRETO,2017,24.500,"R$105.990,00"
TOYOTA PRIUS HYBRID 1.8 16V 5P AUT 2017,HÍBRIDO,PRETO,2017,260.781,"R$85.990,00"
VOLKSWAGEN NOVO GOL TL MCV 2017,FLEX,BRANCO,2017,106.589,"R$42.990,00"
CITROEN C3 EXCL 1.6 16V 2017,FLEX,VERMELHO,2017,80.000,"R$51.990,00"
JEEP RENEGADE LNGTD AT 2017,FLEX,VERMELHO,2017,73.378,"R$77.990,00"
BMW 430I CABRIOLET SPORT 2.0 TB 2P 2017,GASOLINA,PRETO,2017,47.300,"R$249.990,00"
TOYOTA PRIUS HYBRID 1.8 16V 5P AUT 2017,HÍBRIDO,BRANCO,2017,96.762,"R$92.990,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2017,DIESEL,PRETO,2017,100.110,"R$214.990,00"
FIAT MOBI EASY ON 2017,FLEX,VERMELHO,2017,0,R$Consulte
HYUNDAI HB20 1.6 COMFORT PLUS 2017,FLEX,BRANCO,2017,78.864,"R$57.700,00"
CITROEN AIRCROSS 1.5 LIVE 8V FLEX 4P MANUAL 2017,FLEX,BRANCO,2017,92.259,"R$55.900,00"
VOLKSWAGEN AMAROK CD 4X4 SE 2017,DIESEL,PRATA,2017,79.829,"R$117.990,00"
HYUNDAI CRETA 20A PRESTI 2017,FLEX,AZUL,2017,112.877,"R$95.990,00"
HONDA CITY EXL 1.5 16V I-VTEC FLEXONE AUT. 2017,FLEX,MARROM,2017,114.806,"R$81.990,00"
TOYOTA COROLLA GLI 1.8 16V 4P AUT (FLEX) 2017,FLEX,PRETO,2017,167.827,"R$83.990,00"
FORD KA SE 1.0 HA B 2017,FLEX,PRATA,2017,100.064,"R$44.990,00"
HYUNDAI HB20S 1.6A PREM 2017,FLEX,BRANCO,2017,92.113,"R$65.900,00"
HYUNDAI CRETA 16A ATTITU 2017,FLEX,PRETO,2017,93.964,"R$82.990,00"
FORD FIESTA 16TIT AT 2017,FLEX,BRANCO,2017,64.391,"R$60.990,00"
FIAT PUNTO ATTRACTIVE 1.4 FLEX 2017,FLEX,BRANCO,2017,83.915,"R$48.990,00"
HYUNDAI IX35 B 2017,FLEX,BRANCO,2017,70.755,"R$88.990,00"
PEUGEOT 208 ALLURE AT 2017,FLEX,BRANCO,2017,118.025,"R$53.990,00"
RENAULT SANDERO AUTH 10 2017,FLEX,VERMELHO,2017,152.130,"R$41.990,00"
PORSCHE CAYENNE S 2017,GASOLINA,PRETO,2017,71.856,"R$309.990,00"
PORSCHE CAYENNE S E-HY 2017,GASOLINA,PRETO,2017,56.776,"R$354.990,00"
PORSCHE MACAN S 2017,GASOLINA,BRANCO,2017,55.455,"R$351.990,00"
HONDA CIVIC 2.0 16V FLEXONE EXL 4P CVT 2017,GASOLINA,BRANCO,2017,118.000,"R$112.900,00"
NISSAN MARCH 1.0 S 12V FLEX 4P MANUAL 2017,GASOLINA,BRANCO,2017,61.000,"R$43.900,00"
JEEP COMPASS 2.0 16V FLEX LIMITED AUTOMÁTICO 2017,GASOLINA,BRANCO,2017,130.000,"R$103.900,00"
CHEVROLET ONIX 1.0 MPFI JOY 8V FLEX 4P MANUAL 2017,GASOLINA,BRANCO,2017,143.000,"R$47.990,00"
VOLKSWAGEN UP 1.0 TSI MOVE UP 12V FLEX 4P MANUAL 2017,GASOLINA,PRATA,2017,107.000,"R$54.900,00"
VOLKSWAGEN UP 1.0 MPI TAKE UP 12V FLEX 4P MANUAL 2017,GASOLINA,BRANCO,2017,93.000,"R$47.900,00"
PEUGEOT 208 1.2 ALLURE 12V FLEX 4P MANUAL 2017,GASOLINA,BRANCO,2017,115.000,"R$56.990,00"
HYUNDAI CRETA 2.0 16V FLEX PULSE AUTOMÁTICO 2017,GASOLINA,PRATA,2017,65.000,"R$85.990,00"
MERCEDES-BENZ C 250 2.0 CGI GASOLINA AVANTGARDE 9G-TRONIC 2017,GASOLINA,BRANCO,2017,116.000,"R$164.990,00"
VOLKSWAGEN UP 1.0 TSI HIGH UP 12V FLEX 4P MANUAL 2017,GASOLINA,PRETO,2017,79.000,"R$58.900,00"
VOLKSWAGEN TIGUAN 1.4 TSI 16V TURBO GASOLINA 4P DSG 2017,GASOLINA,BRANCO,2017,49.000,"R$99.900,00"
TOYOTA Corolla 2017,FLEX,CINZA,2017,118.383,"R$96.990,00"
PEUGEOT 208 2017,FLEX,PRATA,2017,170.135,"R$59.990,00"
VOLKSWAGEN up! 2017,FLEX,PRATA,2017,121.934,"R$55.990,00"
FORD Ranger 2017,DIESEL,BRANCO,2017,213.133,"R$149.990,00"
PEUGEOT 208 2017,FLEX,PRATA,2017,170.135,"R$59.990,00"
FORD Ranger 2017,DIESEL,BRANCO,2017,143.400,"R$169.990,00"
VOLKSWAGEN up! 2017,FLEX,BRANCO,2017,174.457,"R$47.990,00"
FIAT TORO FREEDOM AT 2017,FLEX,MARROM,2017,87.500,"R$92.990,00"
"HYUNDAI HB 20  1,0 CONFORT 2017",FLEX,PRATA,2017,77.096,R$Consulte
HONDA CIVIC SPORT CVT 2017,FLEX,PRETO,2017,59.652,R$Consulte
VOLKSWAGEN UP TAKE 2P 2017,FLEX,PRATA,2017,155.000,"R$41.990,00"
HYUNDAI HB20 1.0 COMFORT 2017,FLEX,BRANCO,2017,81.337,"R$52.980,00"
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT 2017,FLEX,BRANCO,2017,81.973,"R$75.980,00"
VOLKSWAGEN UP CROSS TSI 1.0 2017,FLEX,BRANCO,2017,126.856,"R$58.980,00"
HYUNDAI HB20 1.0 COMFORT 2017,FLEX,PRATA,2017,77.310,"R$54.980,00"
HYUNDAI HB20X PREMIUM 1.6 FLEX 16V AUT. 4P 2017,FLEX,VERDE,2017,111.421,"R$68.980,00"
FIAT MOBI LIKE 2017,FLEX,PRETO,2017,109.785,R$Consulte
HYUNDAI HB20 1.6A PREM 2017,FLEX,PRATA,2017,74.246,"R$67.990,00"
FIAT STRADA HD WK CE E 2017,FLEX,BRANCO,2017,210.000,"R$57.990,00"
HYUNDAI HB20 CONFORT 1.0 FLEX 2017,FLEX,BRANCO,2017,137.675,"R$49.990,00"
VOLKSWAGEN MOVE UP 2017,FLEX,VERMELHO,2017,109.634,"R$54.990,00"
FIAT PUNTO ESSENCE 1.6 DUALOGIC. 2017,FLEX,BRANCO,2017,79.694,"R$52.990,00"
FIAT PALIO ATTRACTIVE 1.4 8V FLEX MEC. 2017,FLEX,BRANCO,2017,239.219,"R$37.990,00"
FORD ECOSPORT 1.6 SE 16V FLEX 4P POWERSHIFT 2017,GASOLINA,PRETO,2017,61.826,"R$64.900,00"
VOLKSWAGEN AMAROK 2.0 HIGHLINE 4X4 CD 16V TURBO INTERCOOLER DIESEL 4P AUTOMÁTICO 2017,DIESEL,BRANCO,2017,166.858,"R$164.900,00"
BMW 320i ACTIVE FLEX 2017,FLEX,BRANCO,2017,63.161,"R$142.990,00"
PORSCHE Cayenne V6 2017,GASOLINA,PRETO,2017,49.030,"R$323.000,00"
MERCEDES-BENZ C 180 1.6 CGI FLEX AVANTGARDE 9G-TRONIC 2017,FLEX,CINZA,2017,65.894,"R$142.990,00"
JEEP RENEGADE SPORT 1.8 FLEX AUT 2017,FLEX,BRANCO,2017,97.000,"R$77.900,00"
HONDA CIVIC SEDAN EXL 2.0 FLEX 16V AUT 4P 2017,FLEX,BRANCO,2017,58.000,"R$106.900,00"
TOYOTA COROLLA DYNAMIC 2.0 XEI FLEX 16V AUT 2017,FLEX,BRANCO,2017,110.000,"R$89.900,00"
LAND ROVER DISCOVERY 4 3.0 HSE 2017,DIESEL,CINZA,2017,66.000,"R$399.000,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2017,DIESEL,PRETO,2017,190.000,"R$224.900,00"
HYUNDAI CRETA 2017,GASOLINA,BRANCO,2017,108.979,"R$89.900,00"
TOYOTA ETIOS HB XS 15 MT 2017,FLEX,PRATA,2017,191.353,"R$49.990,00"
JEEP COMPASS LONGITUDE F 2017,FLEX,BRANCO,2017,83.863,"R$99.990,00"
VOLKSWAGEN JETTA HL AE 2017,GASOLINA,BRANCO,2017,127.000,"R$102.990,00"
BMW 530 I 2017,GASOLINA,AZUL,2017,78.000,"R$239.990,00"
CITROEN AIRCROSS A FEEL 2017,FLEX,BRANCO,2017,59.695,"R$58.990,00"
FIAT TORO FREEDOM DIESEL 2017,DIESEL,VERMELHO,2017,151.000,"R$108.990,00"
JEEP COMPASS LOGITUDE D 2017,DIESEL,BRANCO,2017,94.507,R$Consulte
CHEVROLET ONIX 1.0 JOYE 2017,FLEX,PRATA,2017,100.711,"R$45.900,00"
NISSAN MARCH SV 1.0 2017,FLEX,PRATA,2017,109.717,"R$45.900,00"
MERCEDES-BENZ C 180 1.6 CGI EXCLISIVE FLEX 2017,FLEX,PRATA,2017,78.399,"R$144.900,00"
NISSAN VERSA 16UNIQUECVT 2017,FLEX,VERMELHO,2017,82.000,"R$62.900,00"
VOLKSWAGEN NOVO GOL TL 1.6 2017,FLEX,PRETO,2017,83.057,"R$44.900,00"
CHEVROLET ONIX 1.0 JOYE 2017,FLEX,PRATA,2017,100.106,"R$47.900,00"
PEUGEOT 208 1.6 GRIFFE 16V FLEX 4P AUTOMÁTICO 2017,FLEX,VERMELHO,2017,80.301,"R$66.900,00"
PEUGEOT 208 1.6 GRIFFE 16V FLEX 4P AUTOMÁTICO 2017,FLEX,VERMELHO,2017,80.306,"R$67.900,00"
FIAT Grand Siena ATTRACTIVE 2017,FLEX,PRATA,2017,113.000,"R$49.990,00"
CITROEN C4L A THP TEND 2017,FLEX,PRATA,2017,102.742,"R$64.990,00"
FIAT PALIO WEEKEND ADVENTURE 1.8 DUALOGIC 16V 2017,FLEX,PRATA,2017,47,"R$56.900,00"
VOLKSWAGEN AMAROK 2.0 CD 4X4 S DIESEL MANUAL 2017,DIESEL,PRATA,2017,96.203,"R$102.900,00"
VOLKSWAGEN AMAROK CD 4X4 COMFORTLINE 2017,FLEX,BRANCO,2017,102.568,"R$102.900,00"
HYUNDAI IX35 GLS 2.0 AUT FLEX 2017,FLEX,PRETO,2017,0,"R$90.900,00"
FORD FIESTA 1.6 SEL AUT 2017,FLEX,VERMELHO,2017,71.400,"R$52.900,00"
JEEP RENEGADE 2.0 16V TURBO DIESEL SPORT 4P 4X4 AUT 2017,DIESEL,PRATA,2017,90.300,"R$99.890,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2017,DIESEL,PRATA,2017,113.000,"R$214.890,00"
RENAULT DUSTER OROCH 1.6 16V FLEX DYNAMIQUE 4P MANUAL 2017,GASOLINA,PRATA,2017,0,"R$74.900,00"
JEEP RENEGADE SPORT AT 2017,FLEX,CINZA,2017,0,"R$79.900,00"
FORD RANGER XLSCD4 22C 2017,DIESEL,PRATA,2017,130.000,"R$139.900,00"
CHEVROLET ONIX 1.0MT LT 2017,FLEX,CINZA,2017,93.800,"R$51.890,00"
NISSAN VERSA 16SV CVT 2017,FLEX,BRANCO,2017,66.000,"R$61.890,00"
VOLKSWAGEN NOVO VOYAGE TL MBV 2017,FLEX,PRATA,2017,128.000,"R$48.890,00"
AUDI Q3 1.4TFSI 2017,GASOLINA,BRANCO,2017,54.160,"R$119.890,00"
LAND ROVER DISCOVERY SPORT SE 2.0 4X4 DIESEL AUT 2017,DIESEL,PRATA,2017,71.800,"R$181.890,00"
LAND ROVER LR RROVER TDV6 VOGUE 2017,DIESEL,AZUL,2017,59.050,"R$469.890,00"
VOLKSWAGEN GOLF COMFORTLINE MD 2017,FLEX,BRANCO,2017,101.225,"R$83.890,00"
VOLKSWAGEN TIGUAN 1.4TSI 2017,GASOLINA,BRANCO,2017,77.640,"R$98.990,00"
FIAT TORO VOLCANO AT D4 2017,DIESEL,PRATA,2017,104.500,"R$115.900,00"
JAGUAR JAG FPACE 20TD PRESTIG 2017,DIESEL,VERMELHO,2017,8.800,"R$274.900,00"
FORD FIESTA 16TIT AT 2017,FLEX,BRANCO,2017,62.600,"R$60.900,00"
HONDA HR-V EXL CVT 2017,FLEX,BRANCO,2017,42.000,"R$97.900,00"
TOYOTA HILUX CDSRXA4FD 2017,DIESEL,PRETO,2017,116.340,"R$212.900,00"
CHEVROLET TRAILBLAZER LTZ D4A 2017,DIESEL,CINZA,2017,93.000,"R$189.900,00"
FORD RANGER XLT 2.5 16V 4X2 CD FLEX 2017,FLEX,PRATA,2017,118.325,"R$119.900,00"
HONDA FIT LX 1.5 FLEXONE 16V 5P AUT 2017,FLEX,PRETO,2017,100.235,"R$69.900,00"
FIAT TORO 2.0 16V TURBO DIESEL VOLCANO 4WD 2017,DIESEL,VERMELHO,2017,142.168,"R$119.900,00"
FIAT TORO 1.8 16V EVO FLEX FREEDOM OPEN EDITION AUTOMÁTICO 2017,FLEX,BRANCO,2017,153.130,"R$89.900,00"
CHEVROLET CRUZE 1.4 TURBO LT 16V FLEX 4P AUT 2017,FLEX,BRANCO,2017,80.566,"R$87.900,00"
HYUNDAI TUCSON 2.0 GLS FLEX 4P AUT 2017,FLEX,PRETO,2017,139.411,"R$65.900,00"
HONDA HR-V LX CVT 1.8 I-VTEC 2017,FLEX,VINHO,2017,110.283,"R$93.900,00"
FORD RANGER LIMITED 3.2 4X4 CD AUT DIESEL 2017,DIESEL,PRETO,2017,103.660,"R$169.900,00"
NISSAN VERSA 1.6 SV FLEX MEC 2017,FLEX,PRATA,2017,143.277,"R$59.900,00"
PEUGEOT 2008 GRIFFE 1.6 MANUAL 2017,FLEX,BRANCO,2017,97.793,"R$66.900,00"
RENAULT DUSTER EXPRESSION 1.6 HI-FLEX 16V MEC. 2017,FLEX,BRANCO,2017,86.310,"R$65.900,00"
JEEP RENEGADE LONGITUDE 1.8 FLEX AUTOMATICO 2017,FLEX,PRETO,2017,99.981,"R$79.900,00"
LAND ROVER DISCOVERY SPORT 2.0 16V SI4 TURBO HSE LUXURY 2017,GASOLINA,PRETO,2017,81.000,"R$200.000,00"
MERCEDES-BENZ C180 AVANTGARDE 1.6 16V T4P 2017,FLEX,BRANCO,2017,62.000,"R$141.500,00"
BMW X1 S20I ACTIVE FLEX 2017,FLEX,CINZA,2017,65.000,"R$152.500,00"
LAND ROVER DISCOVERY HSE 3.0 AUT DIESEL 2017,DIESEL,AZUL,2017,119.000,"R$344.000,00"
MERCEDES-BENZ C 250 2.0 CGI SPORT TURBO 16V 2017,GASOLINA,PRETO,2017,77.000,"R$186.500,00"
NISSAN KICKS SL 1.6 16V FLEXSTAR 5P AUT 2017,FLEX,BRANCO,2017,146.000,"R$78.000,00"
MERCEDES-BENZ C180 AVANTGARD 1.6 TURBO CGI 2017,FLEX,CINZA,2017,63.000,"R$136.000,00"
NISSAN VERSA 16SV CVT 2017,FLEX,PRATA,2017,109.000,"R$54.500,00"
JEEP COMPASS LONGITUDE 2.0 FLEX 16V AUT 2017,FLEX,BRANCO,2017,70.000,"R$107.500,00"
MITSUBISHI PAJERO FULL 3.2 HPE 4X4 16V TURBO INTERCOOLER 2017,DIESEL,PRETO,2017,167.000,"R$218.000,00"
MERCEDES-BENZ GLE-400 COUPE 3.0 V6 333CV AUT. 2017,GASOLINA,BRANCO,2017,60.000,"R$334.500,00"
MERCEDES-BENZ GLA 200 1.6 CGI ADVANCE 16V TURBO 4P 2017,FLEX,PRATA,2017,63.000,"R$135.000,00"
AUDI A6 2.0 TFSI AMBIENTE GASOLINA 4P S-TRONIC 2017,GASOLINA,AZUL,2017,95.000,"R$148.500,00"
VOLKSWAGEN AMAROK 2.0 HIGHLINE EXTREME 4X4 CD TURBO DIESEL 2017,DIESEL,CINZA,2017,180.000,"R$167.500,00"
LAND ROVER RANGE ROVER SPORT 3.0 SE 4X4 V6 24V DIESEL 4P AUT 2017,DIESEL,BRANCO,2017,83.000,"R$375.000,00"
HYUNDAI HB20S COMFORT PLUS 1.6 16V FLEX AUT. 2017,FLEX,BRANCO,2017,93.000,"R$60.000,00"
HONDA HR-V TOURING 2017,FLEX,PRETO,2017,67.000,"R$100.500,00"
NISSAN KICKS SV CVT 2017,FLEX,PRETO,2017,81.000,"R$82.000,00"
VOLVO XC60 D5 KINETIC 2017,DIESEL,PRATA,2017,133.000,"R$143.500,00"
VOLKSWAGEN GOLF 1.4 TSI VARIANT COMFORTLINE 16V 2017,FLEX,BRANCO,2017,85.000,"R$89.000,00"
CITROEN AIRCROSS 1.6 LIVE 16V FLEX 4P AUT 2017,FLEX,PRATA,2017,94.000,"R$58.500,00"
LAND ROVER RANGE ROVER SPORT 3.0 HSE 4X4 V6 24V TURBO DIESEL 4P AUTOMATICO 2017,DIESEL,BRANCO,2017,25.000,"R$325.000,00"
JEEP COMPASS SPORT F 2017,FLEX,BRANCO,2017,101.000,"R$97.500,00"
FORD RANGER XLS CD 4X4 AT DIESEL 2017,DIESEL,PRETO,2017,146.000,"R$146.500,00"
HONDA CIVIC TOURING CVT 2017,GASOLINA,PRATA,2017,140.000,"R$117.000,00"
HYUNDAI IX35 GLS 2.0 AUT FLEX 2017,FLEX,BRANCO,2017,86.000,"R$96.500,00"
JEEP RENEGADE LONGITUDE 1.8 FLEX AUTOMATICO 2017,FLEX,VERMELHO,2017,226.000,"R$65.000,00"
MERCEDES-BENZ C180 AVANTGARD 1.6 TURBO CGI 2017,FLEX,CINZA,2017,92.000,"R$137.500,00"
JEEP COMPASS LIMITED 2.0 4X2 FLEX 16V AUT 2017,FLEX,BRANCO,2017,66.000,"R$115.500,00"
AUDI Q3 1.4 TFSI AMBIENTE FLEX 4P S TRONIC 2017,FLEX,PRETO,2017,103.000,"R$102.500,00"
HONDA CIVIC SEDAN TOURING 1.5 TURBO 16V AUT 4P 2017,GASOLINA,PRETO,2017,115.000,"R$122.500,00"
HONDA CIVIC TOURING CVT 2017,GASOLINA,PRETO,2017,40.000,"R$128.000,00"
HYUNDAI CRETA 1.6 PULSE AUT 2017,FLEX,PRATA,2017,28.015,"R$95.990,00"
AUDI A3 LM 150CV 2017,FLEX,BRANCO,2017,97.894,"R$89.990,00"
CHEVROLET PRISMA 1.4MT LTZ 2017,FLEX,VERMELHO,2017,130.076,"R$65.990,00"
CHEVROLET SPIN 1.8 AT LTZ 2017,FLEX,PRATA,2017,128.296,"R$69.990,00"
VOLKSWAGEN VOYAGE TRENDLINE 2017,FLEX,PRATA,2017,128.250,"R$52.990,00"
HONDA CIVIC EXL CVT 2017,FLEX,BRANCO,2017,24.350,"R$109.990,00"
FIAT MOBI EASY 2017,FLEX,PRATA,2017,100,"R$39.990,00"
TOYOTA HILUX SW4 SRX 7 LUGARES DIESEL AUTOMÃTICA 2017,DIESEL,CINZA,2017,95.000,"R$269.990,00"
JEEP RENEGADE SPORT AT D 2017,DIESEL,PRETO,2017,87.000,"R$102.900,00"
HONDA CITY EX CVT 2017,FLEX,PRATA,2017,58.000,"R$76.900,00"
JEEP COMPASS LONGITUDE D 2017,DIESEL,BRANCO,2017,152,"R$124.900,00"
HONDA CIVIC 2.0 16V FLEXONE SPORT 4P MANUAL 2017,GASOLINA,PRETO,2017,80.000,"R$95.900,00"
BMW M 140i 3.0 24V TURBO GASOLINA 4P AUTOMÁTICO 2017,GASOLINA,AZUL,2017,71.000,"R$249.900,00"
RENAULT DUSTER 1.6 EXPRESSION 4X2 16V FLEX 4P MANUAL 2017,GASOLINA,PRETO,2017,101.000,"R$68.900,00"
JEEP RENEGADE SPORT AT D 2017,DIESEL,BRANCO,2017,0,"R$110.800,00"
VOLKSWAGEN NOVO GOL TL MCV 2017,FLEX,CINZA,2017,0,"R$48.800,00"
JEEP COMPASS TRAILHAWK D 2017,DIESEL,BRANCO,2017,75.000,"R$145.800,00"
FORD FORD KA SE 1.0 HATCH 2017,FLEX,PRETO,2017,0,"R$47.990,00"
VOLKSWAGEN FOX 1.6 MSI RUN 8V FLEX 4P MANUAL 2017,GASOLINA,BRANCO,2017,75.655,"R$59.990,00"
VOLKSWAGEN UP CROSS MCV 2017,FLEX,BRANCO,2017,39.000,"R$59.900,00"
FIAT PALIO ATTRACTIV 1.0 2017,FLEX,VERMELHO,2017,28.200,"R$46.900,00"
RENAULT SANDERO EXP 16 SCE 2017,FLEX,PRATA,2017,120.000,"R$43.900,00"
HONDA CIVIC SPORT CVT 2017,FLEX,BRANCO,2017,50.000,"R$120.900,00"
FIAT TORO VOLCANO AT D4 2017,DIESEL,VERDE,2017,174.000,"R$134.900,00"
HONDA CIVIC EX CVT 2017,FLEX,PRETO,2017,135.000,"R$108.900,00"
VOLKSWAGEN GOL TRENDLINE 1.0 2017,FLEX,BRANCO,2017,174.269,"R$52.900,00"
HYUNDAI HB20 1.0M COMFOR 2017,FLEX,CINZA,2017,82.500,"R$56.900,00"
NISSAN VERSA 1.6 2017,FLEX,BRANCO,2017,128.598,"R$55.900,00"
NISSAN VERSA 2017,FLEX,BRANCO,2017,111.111,"R$59.990,00"
CHEVROLET CRUZE 2017,FLEX,VERMELHO,2017,79.388,"R$93.990,00"
HYUNDAI TUCSON GLSB 2016,FLEX,BRANCO,2016,115.188,"R$55.890,00"
MITSUBISHI ASX 2.0 CVT 2016,GASOLINA,CINZA,2016,97.800,"R$71.890,00"
PEUGEOT 208 ALLURE 2016,FLEX,MARROM,2016,104.488,"R$47.990,00"
JEEP RENEGADE LNGTD AT D 2016,DIESEL,PRETO,2016,113.080,"R$99.900,00"
CHEVROLET CRUZE LT NB 2016,FLEX,PRETO,2016,101.742,"R$74.900,00"
